notrx;no_member;sku;tgl;store;awal_trx;akhir_trx;qty;harga;disc
C01010064907180003;895365430886;8233870;06/10/2025;F105;11:05:45;11:06:39;2.000;2000.00;0.00
C01010064907180003;895365430886;8233870;06/10/2025;F105;11:05:45;11:06:39;2.000;2000.00;0.00
C01010064907180003;895365430886;8238247;06/10/2025;F105;11:05:45;11:06:39;1.000;8000.00;0.00
C01010064907180003;895365430886;8237231;06/10/2025;F105;11:05:45;11:06:39;1.000;7000.00;0.00
C01010064907180004;800102404478535;8237741;06/10/2025;F105;11:40:14;11:40:31;1.000;8000.00;0.00
C01010064907180004;800102404478535;8240060;06/10/2025;F105;11:40:14;11:40:31;1.000;12000.00;0.00
C01010064907180016;1029150200021290;8237741;06/10/2025;F105;14:18:27;14:19:09;1.000;8000.00;0.00
C01010064907180016;1029150200021290;8239478;06/10/2025;F105;14:18:27;14:19:09;1.000;8000.00;0.00
C01010064907180016;1029150200021290;8239439;06/10/2025;F105;14:18:27;14:19:09;1.000;5000.00;0.00
C01010064907180016;1029150200021290;8241071;06/10/2025;F105;14:18:27;14:19:09;1.000;8500.00;-850.00
C01010064907180019;800092506216464;8233622;06/10/2025;F105;15:11:58;15:12:36;1.000;44000.00;-15000.00
C01010064907180019;800092506216464;8239419;06/10/2025;F105;15:11:58;15:12:36;1.000;25000.00;0.00
C01010064907180020;800072403894619;8239948;06/10/2025;F105;15:13:23;15:13:42;1.000;10000.00;0.00
C01010064907180028;1105160100040200;8239770;06/10/2025;F105;18:58:42;18:59:59;1.000;50000.00;0.00
C01010064907180028;1105160100040200;8233353;06/10/2025;F105;18:58:42;18:59:59;1.000;29000.00;0.00
C01010064907180028;1105160100040200;8239482;06/10/2025;F105;18:58:42;18:59:59;1.000;8000.00;0.00
C01010064907180028;1105160100040200;8235140;06/10/2025;F105;18:58:42;18:59:59;1.000;4000.00;0.00
C01010064907180036;1011150100013370;8232134;06/10/2025;F105;19:58:30;20:01:18;1.000;40000.00;0.00
C01010064907180036;1011150100013370;8239439;06/10/2025;F105;19:58:30;20:01:18;1.000;5000.00;0.00
C01010064907180036;1011150100013370;8239478;06/10/2025;F105;19:58:30;20:01:18;1.000;8000.00;0.00
C01010064907180036;1011150100013370;8233480;06/10/2025;F105;19:58:30;20:01:18;1.000;22000.00;-7000.00
C01010060067670010;800122404786321;8241690;06/10/2025;F125;15:04:01;15:05:14;1.000;18000.00;-1800.00
C01010060067670010;800122404786321;8232180;06/10/2025;F125;15:04:01;15:05:14;1.000;25000.00;-5000.00
C01010060067670016;800032402037691;8232135;06/10/2025;F125;17:17:09;17:17:48;1.000;55000.00;-16005.00
C01010060067670016;800032402037691;8233479;06/10/2025;F125;17:17:09;17:17:48;1.000;22000.00;-7000.00
C01010064907390001;800022300659042;8239753;06/10/2025;F034;10:42:21;10:43:18;1.000;110000.00;0.00
C01010064907390001;800022300659042;8235140;06/10/2025;F034;10:42:21;10:43:18;1.000;4000.00;0.00
C01010064907390002;800022300659042;8233591;06/10/2025;F034;11:51:21;11:53:03;1.000;85000.00;0.00
C01010064907390003;800022300659042;8233591;06/10/2025;F034;11:53:39;11:55:23;1.000;85000.00;0.00
C01010064907390005;800062505693777;8233483;06/10/2025;F034;16:14:43;16:14:58;1.000;17000.00;-2000.00
C01010064907390006;800062505693777;8237246;06/10/2025;F034;18:42:01;18:42:39;1.000;6000.00;0.00
C01010064907390006;800062505693777;8239756;06/10/2025;F034;18:42:01;18:42:39;1.000;8500.00;-850.00
C01010064907390006;800062505693777;8241074;06/10/2025;F034;18:42:01;18:42:39;1.000;8500.00;-850.00
C01010064907390007;800062505693777;8233618;06/10/2025;F034;19:10:01;19:11:28;1.000;67000.00;-28000.00
C01010064907390007;800062505693777;8232163;06/10/2025;F034;19:10:01;19:11:28;1.000;40000.00;-11000.00
C01010064907390007;800062505693777;8232163;06/10/2025;F034;19:10:01;19:11:28;1.000;40000.00;-11000.00
C01010064907680004;900210309005970;8238233;06/10/2025;F049;12:42:09;12:42:30;1.000;10000.00;0.00
C01010064907680004;900210309005970;8238233;06/10/2025;F049;12:42:09;12:42:30;1.000;10000.00;0.00
C01010064907680020;800032402413824;8238231;06/10/2025;F049;17:40:24;17:41:16;1.000;10000.00;0.00
C01010064907680020;800032402413824;8238232;06/10/2025;F049;17:40:24;17:41:16;1.000;10000.00;0.00
C01010064907680020;800032402413824;8238232;06/10/2025;F049;17:40:24;17:41:16;1.000;10000.00;0.00
